PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40627846,EML4-ALK rearrangement creates a distinctive myeloid cell-dominant immunosuppressive microenvironment in lung cancer.,2025,Yukari Nishito; Hideaki Mizuno; Yukiko Sonobe; Yoko Kayukawa; Toru Maruyama; Yukihiro Mizoguchi; Shigehisa Kitano; Risa Mitsumori; Kouichi Ozaki; Shumpei Niida; Kazuki Yasuda; Hiroyuki Tsunoda,"Chugai Pharmaceutical Co., Ltd., Yokohama, Kanagawa, Japan.; Chugai Pharmaceutical Co., Ltd., Yokohama, Kanagawa, Japan.; Chugai Pharmaceutical Co., Ltd., Yokohama City, Japan.; Chugai Pharmaceutical Co. Ltd., Yokohama, Kanagawa, Japan.; Roche (Switzerland), Basel, Basel-stadt, Switzerland.; Japanese Foundation For Cancer Research, Koto-ku, Tokyo, Japan.; Japanese Foundation For Cancer Research, Koto-ku, Tokyo, Japan.; National Center for Geriatrics and Gerontology, Obu, Aichi, Japan.; National Center for Geriatrics and Gerontology, Obu, Japan.; National Center for Geriatrics and Gerontology, Obu, Aichi, Japan.; National Center for Global Health and Medicine, Japan.; Chugai Pharmaceutical Co., Ltd., Kamakura, Kanagawa, Japan.",
40627813,RP1 Combined With Nivolumab in Advanced Anti-PD-1-Failed Melanoma (IGNYTE).,2025,Michael K Wong; Judith Michels; Jiaxin Niu; Tawnya Lynn Bowles; Caroline Gaudy-Marqueste; Praveen K Bommareddy; Junhong Zhu; Marcus Viana; Jeannie W Hou; Robert S Coffin,"Roswell Park Comprehensive Cancer Center, Buffalo, NY, USA.; Département de Médecine Oncologique, Gustave Roussy, Villejuif, France.; Banner MD Anderson Cancer Center, Gilbert, AZ, USA.; Intermountain Medical Center, Murray, UT, USA.; Aix-Marseille Université, APHM, Centre de Recherche en Cancérologie de Marseille (CRCM), Inserm, U1068, CNRS, UMR7258, UM105, Hôpital Timone, CEPCM, Dermatology and Skin Cancer Department, Marseille, France.; Replimune, Inc., Woburn, MA, USA.; Replimune, Inc., Woburn, MA, USA.; Replimune, Inc., Woburn, MA, USA.; Replimune, Inc., Woburn, MA, USA.; Replimune, Inc., Woburn, MA, USA.",
40627669,HPV vaccine uptake among adolescent girls in Nigeria: The complex role of caregivers' education.,2025,Ifeanyi Nsofor,"Family Health Initiative, Abuja, Nigeria.",
40627448,NOTCH1 reverses immune suppression in small cell lung cancer through reactivation of STING.,2025,Barzin Y Nabet; Velimir Gayevskiy; Alberto Chiappori; David S Shames,"Genentech Inc., South San Francisco, United States of America.; Genentech Inc., South San Francisco, United States of America.; Thoracic Oncology Program, Moffitt Cancer Center, Tampa, United States of America.; Genentech Inc., South San Francisco, United States of America.",
40627445,"SARC028 samples reveal an interplay between TGFβ, interferon signaling and low HLA class I expression as contributors to Ewing sarcoma checkpoint blockade resistance.",2025,Melissa Burgess,"U Pittsburgh, Pittsburgh, PA, United States.",
40627401,Controlling T cell-tumor cell interaction with a biomimetic physical barrier for cancer immunotherapy.,2025,Yuxuan Zhang; Jinjin Wang; Guangchao Qing; Yongchao Wang; Xianlei Li; Ting Luo; Yi-Feng Wang; Lu Liu; Yufei Wang; Qiankun Ni; Shuyi Li; Junge Chen; Fangzhou Li; Xing-Jie Liang,"Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.; Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.; Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.; Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.; Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.; Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.; Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.; Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.; Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.; Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.; Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.; Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.; Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.; Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.",
40626955,Design and Characterization of Prodrugged Anti-CTLA-4 Antibodies.,2025,Sayumi Yamazoe; Mary Huber; Srikanth Kotapati; Rahima Akter; Aarti Jashnani; Suprit Deol; Christine Bee; John Engelhart; Yam B Poudel; Stanley Krystek; Mohan Srinivasan; Arvind Rajpal; Yong Zhang; Pavel Strop; Chetana Rao; John Haugner,"Bristol-Myers Squibb Co, Discovery Biologics, 700 Bay road, 94063, Redwood city, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and Development, UNITED STATES OF AMERICA.; Bristol-Myers Squibb Company, Research and Development, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and Development, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and Development, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and Development, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and Development, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and Development, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and Development, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and Development, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and Development, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and Development, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and Development, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and Development, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and Development, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and development, UNITED STATES OF AMERICA.",
40626883,Vγ9Vδ2 T Cells Express an Antitumor Profile Associated with Anti-PD-(L)1 Responses and Activation Defects Restored by Anti-BTN3A in Triple-Negative Breast Cancer.,2025,Stéphane Fattori; Laurent Gorvel; Marie-Sarah Rouvière; Samuel Granjeaud; Amira Ben Amara; Manon Richaud; Nicolas Boucherit; Grégoire Bellan; Jean-Jacques Fournié; Anne-Sophie Chrétien,"Centre de Recherche en Cancérologie de Marseille, Marseille, France.; Centre de Recherche en Cancérologie de Marseille, Marseille, France.; Centre de Recherche en Cancérologie de Marseille, Marseille, France.; Centre de Recherche en Cancérologie de Marseille, Marseille, France.; Centre de Recherche en Cancérologie de Marseille, Marseille, France.; Centre de Recherche en Cancérologie de Marseille, Marseille, France.; Centre de Recherche en Cancérologie de Marseille, Marseille, France.; Télécom Paris, France.; INSERM, Toulouse, France.; Inserm, Marseille, France.",
40626667,Lights and shadows of microsatellite status characterization in gastrointestinal cancers in the era of cancer precision therapy.,2025,Paola Parente; Luisa Toffolatti,"Unit of Pathology, Fondazione IRCCS Ospedale Casa Sollievo Della Sofferenza, San Giovanni Rotondo, Foggia, Italy.; Surgical Pathology Unit, ULSS2 Marca Trevigiana, Treviso, Italy.",
40626281,Improving immunotherapy for the treatment of hepatocellular carcinoma: learning from patients and preclinical models.,2025,Mathias Heikenwälder,"Division of Chronic Inflammation and Cancer, German Cancer Research Centre Heidelberg (DKFZ), Heidelberg, Germany.",
40626041,Perspective on recent developments and challenges in regulatory and systems genomics.,2025,Alejandra Medina-Rivera,"Laboratorio Internacional de Investigación sobre el Genoma Humano, Universidad Nacional Autónoma de México, Santiago de Querétaro 76230, Mexico.",
40626017,Part II: consensus statements and expert recommendations for BRCA-associated breast cancer in the Asia-Pacific region: clinical management.,2025,Rebecca Alexandra Dent; Veronique Kiak-Mien Tan; Frances Victoria F Que; Sun-Young Kong,"Division of Medical Oncology, National Cancer Centre Singapore, Singapore, Singapore.; Department of Breast Surgery, Division of Surgery and Surgical Oncology, National Cancer Centre Singapore, Singapore, Singapore.; Department of Internal Medicine and Oncology, St Luke's Medical Center, Quezon City and Global City, Metro Manila, Philippines.; Department of Laboratory Medicine and Genetic Counselling Clinic, National Cancer Center, Goyang, Gyeonggi-do, Republic of Korea.",
40625771,A rare case of primary prostate melanoma with extensive secondaries: case report.,2025,Kumanan Jayaraman; Rejeesh Selvaganesan; Binitta Sherin,"Oncology, KIMS Health, TVM Main Road, Chukankadai, Nagercoil, 629003 India.; Surgical Gastroenterology, KIMS Health, TVM Main Road, Chukankadai, Nagercoil, 629003 India.; Pathology, KIMS Health, TVM Main Road, Chukankadai, Nagercoil, 629003 India.",
40624367,"EHA-EMN Evidence-Based Guidelines for diagnosis, treatment and follow-up of patients with multiple myeloma.",2025,Sonja Zweegman; Niels W C J van de Donk; Elena Zamagni; Paula Rodriguez-Otero; Christoph Driessen; Michele Cavo; Mohamad Mohty; Jesus San-Miguel,"Department of Hematology, Amsterdam UMC, Vrije Universiteit Amsterdam, Cancer Center Amsterdam, Amsterdam, Netherlands.; Department of Hematology, Amsterdam UMC, Vrije Universiteit Amsterdam, Cancer Center Amsterdam, Amsterdam, Netherlands.; IRCCS Azienda Ospedaliero-Universitaria di Bologna, Istituto di Ematologia ""Seràgnoli"", Bologna, Italy.; Clinica Universidad de Navarra, CIMA, IDISNA, CIBERONC, Pamplona, Spain.; Department of Medical Oncology and Hematology, HOCH Health Ostchweiz, St. Gallen, Switzerland.; Dipartimento di Scienze Mediche e Chirurgiche, Università di Bologna, Bologna, Italy.; Centre de Recherche Saint-Antoine INSERM UMRs938, Sorbonne Université, Paris, France.; Clinica Universidad de Navarra, CIMA, IDISNA, CIBERONC, Pamplona, Spain.",
